# Longitude (deg), Latitude (deg), Distance Along Fault (km), Distance Along Fault (m), Scarp Height (m), Scarp Height Std (m), Upper Slope Angle (deg), upper slope std, Lower Slope Angle (deg), lower_slope_std, Filtered Median offset (1km), filtered standard deviation (1km), Filtered Median offset (3km), filtered standard deviation (3km), Filtered Median offset (5km), filtered standard deviation (5km)
31.79,-11.84,29.22,29219.00,,,,,,,20.26,0.00,20.26,0.00,14.19,3.83
31.79,-11.84,29.34,29339.00,,,,,,,20.26,0.00,20.26,0.00,14.19,3.83
31.79,-11.84,29.46,29459.00,,,,,,,20.26,0.00,14.95,5.31,14.19,3.83
31.79,-11.84,29.58,29579.00,,,,,,,20.26,0.00,13.27,4.41,14.19,3.83
31.79,-11.84,29.70,29699.00,,,,,,,,,14.19,3.83,14.19,3.83
31.79,-11.84,29.82,29819.00,,,,,,,,,14.19,3.83,14.19,3.83
31.78,-11.84,29.94,29939.00,,,,,,,,,14.19,3.83,14.19,3.83
31.78,-11.84,30.06,30059.00,,,,,,,,,14.19,3.83,15.07,3.43
31.78,-11.84,30.18,30179.00,,,,,,,,,14.19,3.83,14.17,3.18
31.78,-11.84,30.30,30299.00,,,,,,,,,14.19,3.83,15.07,3.04
31.78,-11.84,30.42,30419.00,,,,,,,9.64,0.00,14.19,3.83,15.07,3.04
31.78,-11.84,30.54,30539.00,,,,,,,11.46,1.81,14.19,3.83,15.09,2.98
31.78,-11.84,30.66,30659.00,,,,,,,13.27,2.27,13.27,2.27,15.09,2.98
31.78,-11.85,30.78,30779.00,,,,,,,13.27,2.27,13.27,2.27,15.09,2.98
31.78,-11.85,30.90,30899.00,9.64,0.34,3.64,0.39,2.20,2.20,13.27,2.27,13.27,2.27,15.07,3.06
31.78,-11.85,31.02,31019.00,13.27,0.21,3.25,0.20,1.30,1.30,13.27,2.27,14.17,2.22,15.07,3.06
31.77,-11.85,31.14,31139.00,15.11,0.18,4.24,0.11,2.94,2.94,13.27,2.27,13.27,1.99,15.07,3.06
31.77,-11.85,31.26,31259.00,,,,,,,13.27,2.27,14.17,2.20,15.07,3.06
31.77,-11.85,31.38,31379.00,,,,,,,13.27,2.27,14.17,2.20,15.07,3.06
31.77,-11.85,31.50,31499.00,,,,,,,14.19,0.92,15.07,2.41,15.07,3.06
31.77,-11.85,31.62,31619.00,,,,,,,15.11,0.00,15.07,2.41,14.17,2.47
31.77,-11.85,31.74,31739.00,,,,,,,,,15.07,2.41,14.17,2.47
31.77,-11.85,31.86,31859.00,,,,,,,,,14.17,2.47,15.07,3.28
31.77,-11.85,31.98,31978.00,,,,,,,15.07,0.00,14.17,2.47,15.07,3.28
31.77,-11.85,32.10,32098.00,,,,,,,14.12,0.95,14.17,2.47,15.07,3.28
31.77,-11.85,32.22,32218.00,,,,,,,15.07,1.40,14.17,2.47,15.07,3.28
31.77,-11.85,32.34,32338.00,,,,,,,15.07,1.40,14.17,2.47,15.07,3.28
31.76,-11.85,32.46,32458.00,15.07,0.11,8.01,0.10,3.00,3.00,15.84,1.63,15.07,1.99,15.03,3.11
31.76,-11.85,32.58,32578.00,13.17,0.12,6.02,0.06,7.58,7.58,15.84,1.63,15.09,2.07,15.03,3.11
31.76,-11.85,32.70,32698.00,16.60,0.36,8.73,0.32,0.35,0.35,15.84,1.63,15.07,2.27,14.98,3.04
31.76,-11.85,32.82,32818.00,,,,,,,15.07,2.27,15.84,3.21,14.98,3.04
31.76,-11.86,32.94,32938.00,17.45,0.35,1.61,0.15,6.60,6.60,15.07,2.27,15.84,3.21,14.98,3.04
31.76,-11.86,33.06,33058.00,,,,,,,14.89,2.52,15.84,3.21,14.98,3.04
