# Longitude (deg), Latitude (deg), Distance Along Fault (km), Distance Along Fault (m), Scarp Height (m), Scarp Height Std (m), Upper Slope Angle (deg), upper slope std, Lower Slope Angle (deg), lower_slope_std, Filtered Median offset (1km), filtered standard deviation (1km), Filtered Median offset (3km), filtered standard deviation (3km), Filtered Median offset (5km), filtered standard deviation (5km)
33.17,-10.90,21.30,21298.00,29.40,0.54,7.35,0.02,2.13,2.13,16.58,8.47,22.59,8.18,25.40,8.08
33.17,-10.90,21.42,21418.00,14.06,0.17,1.37,0.09,3.20,3.20,14.06,9.28,22.59,8.18,24.13,7.49
33.17,-10.90,21.54,21538.00,,,,,,,12.47,7.85,19.10,8.52,22.87,7.75
33.17,-10.90,21.66,21658.00,9.89,0.05,6.32,0.03,6.85,6.85,12.47,7.85,19.10,8.52,24.90,7.73
33.17,-10.90,21.78,21778.00,10.89,0.38,1.68,0.29,2.69,2.69,12.47,7.85,20.01,7.97,24.90,7.73
33.17,-10.90,21.90,21898.00,,,,,,,10.89,1.78,19.10,7.87,24.90,7.38
33.17,-10.90,22.02,22018.00,,,,,,,10.39,0.50,19.10,7.87,23.88,7.26
33.17,-10.90,22.14,22138.00,,,,,,,10.39,0.50,19.10,7.87,24.23,7.26
33.17,-10.90,22.26,22258.00,,,,,,,10.89,0.00,19.10,7.87,23.57,6.84
33.16,-10.90,22.38,22378.00,,,,,,,,,17.48,8.50,24.23,7.14
33.16,-10.90,22.50,22498.00,,,,,,,,,14.06,7.29,23.57,7.34
33.16,-10.90,22.62,22617.00,,,,,,,,,17.48,7.27,23.57,7.34
33.16,-10.91,22.74,22736.00,,,,,,,20.91,0.00,17.48,7.27,23.57,7.34
33.16,-10.91,22.86,22856.00,,,,,,,20.91,0.00,17.48,6.88,20.91,7.15
33.16,-10.91,22.98,22976.00,,,,,,,20.91,0.00,19.14,6.66,20.91,7.15
33.16,-10.91,23.10,23096.00,,,,,,,20.91,0.00,20.91,6.41,22.24,7.12
33.16,-10.91,23.22,23216.00,20.91,0.50,4.71,0.03,5.32,5.32,20.91,0.00,22.24,5.53,22.24,7.12
33.16,-10.91,23.34,23336.00,,,,,,,20.91,0.00,24.23,4.81,23.57,7.34
33.16,-10.91,23.46,23456.00,,,,,,,20.91,0.00,24.23,4.81,22.24,7.15
33.16,-10.91,23.58,23576.00,,,,,,,22.91,1.99,24.23,4.81,22.24,7.15
33.16,-10.91,23.70,23696.00,,,,,,,22.91,1.99,24.23,4.81,20.91,7.42
33.16,-10.92,23.82,23816.00,,,,,,,26.34,1.44,23.57,4.88,18.78,7.11
33.16,-10.92,23.94,23936.00,,,,,,,24.90,4.39,23.57,4.88,19.84,7.21
33.16,-10.92,24.06,24056.00,24.90,0.16,6.21,0.28,2.11,2.11,24.23,3.81,24.23,4.83,19.84,7.21
33.16,-10.92,24.18,24176.00,,,,,,,24.23,3.81,24.23,4.83,20.91,6.81
33.16,-10.92,24.30,24296.00,27.79,0.45,5.78,0.32,4.11,4.11,24.90,4.97,24.23,4.83,22.24,6.30
33.16,-10.92,24.42,24416.00,17.37,0.47,19.29,0.16,6.63,6.63,24.90,4.97,24.23,4.83,20.91,6.30
33.16,-10.92,24.54,24536.00,23.57,0.20,10.26,0.14,3.39,3.39,24.90,4.97,24.23,4.83,20.91,6.30
33.16,-10.92,24.66,24656.00,,,,,,,25.68,5.55,23.57,6.17,20.91,6.30
33.16,-10.92,24.78,24776.00,32.45,0.70,6.29,0.41,6.51,6.51,23.57,5.61,23.57,6.63,20.91,6.30
33.16,-10.92,24.90,24896.00,,,,,,,21.17,5.90,23.57,6.63,20.91,6.30
33.16,-10.93,25.02,25016.00,,,,,,,25.98,5.13,23.57,6.63,19.84,6.19
33.16,-10.93,25.14,25136.00,,,,,,,28.40,5.73,23.57,6.63,19.84,6.19
33.16,-10.93,25.26,25256.00,18.78,0.15,8.56,0.03,3.42,3.42,28.40,5.73,23.57,6.63,19.84,6.19
33.16,-10.93,25.38,25376.00,,,,,,,23.59,4.81,21.17,6.60,19.84,6.19
33.16,-10.93,25.50,25496.00,28.40,0.58,5.19,0.12,3.77,3.77,23.59,4.81,21.17,6.60,19.84,6.19
33.16,-10.93,25.62,25616.00,,,,,,,18.78,7.11,18.78,6.85,19.84,6.19
33.16,-10.93,25.74,25736.00,,,,,,,16.89,6.45,18.78,6.85,18.78,6.47
33.16,-10.93,25.86,25856.00,,,,,,,15.00,7.44,18.07,6.82,18.78,6.47
33.16,-10.93,25.98,25976.00,,,,,,,15.00,7.44,17.55,6.89,18.78,6.47
33.16,-10.94,26.10,26096.00,11.00,0.21,5.37,0.06,2.61,2.61,13.00,2.00,16.32,7.23,18.07,6.44
33.16,-10.94,26.22,26216.00,15.00,0.23,5.43,0.10,2.75,2.75,13.00,2.00,16.32,7.23,18.07,6.44
33.16,-10.94,26.34,26336.00,,,,,,,15.00,2.01,15.90,5.39,18.07,6.44
33.16,-10.94,26.46,26456.00,,,,,,,15.00,2.01,15.90,5.39,18.07,6.44
33.16,-10.94,26.58,26576.00,,,,,,,15.00,2.01,15.90,5.39,16.84,6.95
33.16,-10.94,26.70,26696.00,,,,,,,15.24,0.24,15.90,5.39,16.32,7.50
33.15,-10.94,26.82,26816.00,15.48,0.24,2.60,0.08,4.26,4.26,15.48,0.00,15.48,5.87,15.48,7.60
33.15,-10.94,26.94,26936.00,,,,,,,15.90,0.42,15.48,5.87,15.24,7.90
33.15,-10.94,27.06,27056.00,,,,,,,15.90,0.42,15.00,1.83,15.00,7.95
33.15,-10.94,27.18,27176.00,,,,,,,15.90,0.42,15.00,1.83,15.00,7.95
33.15,-10.94,27.30,27296.00,,,,,,,15.90,0.42,15.00,1.83,14.79,6.24
33.15,-10.95,27.42,27416.00,16.32,0.26,2.46,0.23,5.86,5.86,16.32,0.00,15.00,1.83,14.79,6.24
33.15,-10.95,27.54,27536.00,,,,,,,16.32,0.00,14.79,2.50,14.79,6.24
33.15,-10.95,27.66,27656.00,,,,,,,16.32,0.00,14.79,3.66,14.79,6.24
33.15,-10.95,27.78,27776.00,,,,,,,16.32,0.00,12.03,4.26,14.79,6.08
33.15,-10.95,27.90,27896.00,,,,,,,16.32,0.00,12.03,4.26,14.79,6.08
