# Longitude (deg), Latitude (deg), Distance Along Fault (km), Distance Along Fault (m), Scarp Height (m), Scarp Height Std (m), Upper Slope Angle (deg), upper slope std, Lower Slope Angle (deg), lower_slope_std, Filtered Median offset (1km), filtered standard deviation (1km), Filtered Median offset (3km), filtered standard deviation (3km), Filtered Median offset (5km), filtered standard deviation (5km)
32.09,-11.86,20.81,20812,,,,,,,35.28,6.1,29.8,11.73,29.18,11.37
32.1,-11.86,20.93,20932,41.38,0.79,15.1,0.71,3.34,3.34,35.28,6.1,35.59,12.11,29.18,11.37
32.1,-11.85,21.05,21051,29.18,0.5,13.6,0.65,5.34,5.34,35.28,6.1,35.59,12.11,29.49,11.15
32.09,-11.85,21.17,21171,,,,,,,41.38,6.23,29.8,12.29,29.49,11.15
32.09,-11.85,21.29,21291,,,,,,,41.38,6.23,29.8,11.81,29.49,11.15
32.09,-11.85,21.41,21411,,,,,,,35.28,13.72,29.49,11.1,29.49,11.15
32.09,-11.85,21.53,21531,,,,,,,25.29,12.48,28.46,11.57,29.49,11.15
32.09,-11.85,21.65,21651,43.23,0.81,10.43,0.16,5.12,5.12,21.4,14.22,28.46,11.57,29.49,11.15
32.09,-11.85,21.77,21771,,,-2.25,0.22,4.24,4.24,21.4,14.22,28.46,11.57,29.49,11.15
32.09,-11.85,21.89,21891,8.8,0.43,13.36,0.38,1.7,1.7,21.4,14.22,28.46,11.57,29.8,11.42
32.09,-11.85,22.01,22011,21.4,0.19,13.05,0.38,7.13,7.13,21.4,14.22,28.46,11.57,35.59,11.53
32.09,-11.85,22.13,22131,,,,,,,21.4,14.22,28.46,11.57,29.8,11.65
32.09,-11.84,22.25,22251,,,,,,,21.4,13.85,28.46,11.57,29.49,11.41
32.09,-11.84,22.37,22371,,,,,,,24.57,12.09,28.46,11.57,29.49,11.41
32.09,-11.84,22.49,22491,,,,,,,24.57,8.73,27.73,11.38,29.18,12.02
32.09,-11.84,22.61,22611,,,,,,,27.73,9.07,24.57,12.27,29.18,12.02
32.09,-11.84,22.73,22731,42.37,0.22,14.39,0.2,10.89,10.89,27.73,9.07,24.57,12.27,28.46,11.84
32.09,-11.84,22.85,22851,27.73,0.34,15.22,0.12,7.56,7.56,27.73,9.07,24.57,12.27,27.73,11.37
32.09,-11.84,22.97,22971,20.59,0.16,7.63,0.13,7.56,7.56,27.73,9.07,27.73,12.98,27.73,11.37
