# Longitude (deg), Latitude (deg), Distance Along Fault (km), Distance Along Fault (m), Scarp Height (m), Scarp Height Std (m), Upper Slope Angle (deg), upper slope std, Lower Slope Angle (deg), lower_slope_std, Filtered Median offset (1km), filtered standard deviation (1km), Filtered Median offset (3km), filtered standard deviation (3km), Filtered Median offset (5km), filtered standard deviation (5km)
31.94,-11.91,22.62,22618.00,38.03,0.33,5.87,0.23,3.06,3.06,32.68,6.43,32.68,15.19,30.17,14.49
31.94,-11.91,22.74,22738.00,19.06,0.28,0.32,0.14,3.73,3.73,32.68,6.43,32.68,15.19,27.67,14.43
31.94,-11.91,22.86,22858.00,,,,,,,30.17,6.99,32.68,15.19,24.53,14.62
31.94,-11.91,22.98,22978.00,,,,,,,32.68,7.99,30.17,14.75,24.53,14.62
31.94,-11.91,23.10,23098.00,,,,,,,28.54,9.49,30.17,14.75,24.53,14.62
31.94,-11.91,23.22,23218.00,,,,,,,19.06,0.00,30.17,14.75,24.53,14.62
31.94,-11.91,23.34,23338.00,,,,,,,,,32.68,14.73,24.53,14.62
31.94,-11.91,23.46,23458.00,,,,,,,49.04,0.00,32.68,13.23,24.53,14.62
31.94,-11.91,23.58,23578.00,,,,,,,54.74,5.70,32.68,13.23,24.53,14.62
31.94,-11.91,23.70,23698.00,,,,,,,54.74,5.70,32.68,13.23,24.53,14.62
31.95,-11.91,23.82,23818.00,,,,,,,54.74,5.70,27.67,14.80,24.53,14.62
31.95,-11.91,23.94,23938.00,49.04,0.52,14.33,0.10,16.78,16.78,49.04,16.40,27.03,15.65,24.53,14.62
31.95,-11.90,24.06,24058.00,60.44,0.59,4.46,0.17,15.03,15.03,49.04,16.40,21.38,16.72,21.38,14.56
31.95,-11.90,24.18,24178.00,,,,,,,49.04,16.40,20.44,17.82,20.44,14.40
31.95,-11.90,24.30,24298.00,,,,,,,49.04,16.40,21.38,18.73,20.44,14.47
31.95,-11.90,24.42,24418.00,21.38,0.35,9.90,0.23,6.20,6.20,35.21,17.63,21.38,18.73,20.44,13.92
31.95,-11.90,24.54,24538.00,,,,,,,21.38,18.87,21.38,18.73,19.49,13.82
31.95,-11.90,24.66,24658.00,,,,,,,20.44,0.95,21.38,18.73,19.49,13.82
31.95,-11.90,24.78,24778.00,,,,,,,19.49,3.91,21.38,18.73,19.27,14.16
31.95,-11.90,24.90,24898.00,19.49,0.22,3.91,0.01,2.42,2.42,19.49,3.91,21.38,18.73,19.06,14.68
31.95,-11.90,25.02,25018.00,,,,,,,15.90,3.59,20.44,18.45,17.52,15.23
31.95,-11.90,25.14,25138.00,,,,,,,15.90,3.59,19.49,17.86,15.33,15.10
31.95,-11.90,25.26,25258.00,12.31,0.60,7.21,0.31,1.28,1.28,15.90,3.59,17.41,17.17,14.92,15.71
31.96,-11.90,25.38,25378.00,,,,,,,15.90,3.59,17.52,16.40,14.92,15.71
31.96,-11.90,25.50,25498.00,,,,,,,12.31,0.00,15.33,14.21,14.51,15.80
31.96,-11.90,25.62,25618.00,,,,,,,12.31,0.00,14.92,2.90,14.30,15.84
31.96,-11.89,25.74,25738.00,,,,,,,12.31,0.00,14.92,2.90,14.30,15.84
31.96,-11.89,25.86,25858.00,,,,,,,,,14.92,2.90,14.30,15.84
31.96,-11.89,25.98,25978.00,,,,,,,13.97,0.00,14.30,3.35,14.30,15.84
31.96,-11.89,26.10,26098.00,,,,,,,14.24,0.27,14.10,3.77,14.30,15.84
31.96,-11.89,26.22,26218.00,,,,,,,14.51,0.56,14.10,3.77,14.51,15.30
31.96,-11.89,26.34,26338.00,,,,,,,14.92,1.35,14.10,3.77,14.51,15.30
31.96,-11.89,26.46,26457.00,13.97,0.19,1.41,0.02,0.21,0.21,14.51,1.31,13.97,4.30,14.30,13.40
31.96,-11.89,26.58,26577.00,14.51,0.25,0.41,0.26,1.23,1.23,14.51,1.31,13.14,4.89,14.10,5.68
31.96,-11.89,26.70,26697.00,15.33,0.21,5.59,0.20,1.52,1.52,14.51,1.31,13.14,4.89,14.10,5.68
31.96,-11.89,26.82,26817.00,17.52,0.17,9.19,0.12,0.98,0.98,14.51,1.31,13.97,5.13,14.10,5.68
31.97,-11.89,26.94,26937.00,14.10,0.23,4.10,0.06,2.75,2.75,14.30,3.10,13.97,5.13,14.03,5.34
31.97,-11.89,27.06,27057.00,,,,,,,14.30,3.82,13.97,5.13,14.10,5.80
31.97,-11.88,27.18,27177.00,,,,,,,14.10,4.10,14.03,5.33,14.10,5.80
31.97,-11.88,27.30,27297.00,,,,,,,10.94,4.28,14.03,5.33,14.03,5.82
31.97,-11.88,27.42,27417.00,7.42,0.25,2.64,0.01,3.59,3.59,7.60,3.78,14.03,5.33,13.97,5.70
31.97,-11.88,27.54,27537.00,7.78,0.09,3.19,0.08,0.83,0.83,5.49,2.22,14.03,5.33,13.97,5.70
31.97,-11.88,27.66,27657.00,,,,,,,5.49,2.22,14.03,5.33,13.97,5.70
31.97,-11.88,27.78,27777.00,,,-0.31,0.11,2.08,2.08,5.49,2.22,14.03,5.33,14.03,5.93
31.97,-11.88,27.90,27897.00,3.56,0.07,0.16,0.06,1.18,1.18,5.49,2.22,14.03,5.33,14.03,5.93
31.97,-11.88,28.02,28017.00,2.82,0.20,2.34,0.02,0.87,0.87,3.56,2.18,14.30,6.23,14.10,6.25
31.97,-11.88,28.14,28137.00,,,,,,,3.56,7.00,14.10,6.53,14.30,7.80
31.97,-11.88,28.26,28257.00,,,,,,,3.56,7.00,7.78,6.62,14.51,7.59
31.97,-11.87,28.38,28377.00,,,,,,,3.56,7.00,7.60,6.60,14.51,7.59
31.97,-11.87,28.50,28497.00,,,,,,,10.42,7.60,7.42,6.89,14.92,7.89
31.97,-11.87,28.62,28617.00,18.02,0.20,10.39,0.16,3.21,3.21,18.02,0.00,7.42,6.89,14.51,7.73
31.97,-11.87,28.74,28737.00,,,,,,,18.02,0.00,7.42,6.89,14.51,7.73
31.97,-11.87,28.86,28857.00,,,,,,,18.02,0.00,7.42,6.89,14.51,7.73
31.97,-11.87,28.98,28977.00,,,,,,,20.18,2.16,7.78,7.90,14.92,7.97
31.97,-11.87,29.10,29097.00,,,,,,,20.18,2.16,18.02,10.32,15.33,8.23
31.97,-11.87,29.22,29217.00,,,,,,,14.49,7.85,17.86,9.68,14.10,8.35
31.97,-11.87,29.34,29337.00,,,,,,,14.49,7.85,17.86,9.68,12.33,8.61
31.97,-11.87,29.46,29457.00,22.34,0.17,1.43,0.09,1.17,1.17,14.49,7.85,19.81,9.04,9.80,8.77
31.97,-11.86,29.58,29577.00,,,,,,,14.49,7.85,19.81,7.63,9.80,8.77
31.97,-11.86,29.70,29697.00,6.64,0.13,1.03,0.16,0.92,0.92,14.49,7.85,19.81,7.63,9.80,8.77
31.97,-11.86,29.82,29817.00,,,,,,,14.49,7.85,19.81,7.63,9.80,8.77
31.97,-11.86,29.94,29937.00,,,,,,,21.59,7.23,19.81,7.63,10.56,8.91
31.97,-11.86,30.06,30057.00,,,,,,,21.59,10.42,19.81,7.63,14.13,9.07
31.97,-11.86,30.18,30177.00,,,,,,,19.64,9.08,19.64,8.37,14.13,9.07
31.98,-11.86,30.30,30297.00,,,,,,,21.59,6.05,19.64,8.37,14.13,9.07
31.98,-11.86,30.42,30417.00,21.59,0.49,5.08,0.09,1.81,1.81,23.91,5.35,17.69,8.56,17.69,8.78
31.98,-11.86,30.54,30537.00,32.02,0.54,4.45,0.15,0.72,0.72,21.59,7.31,17.69,8.56,17.86,8.12
31.98,-11.86,30.66,30657.00,17.69,0.41,1.18,0.40,3.22,3.22,21.59,7.31,17.69,8.56,18.02,9.08
31.98,-11.85,30.78,30777.00,,,8.64,0.02,-3.35,-3.35,21.59,7.31,17.69,8.56,19.81,11.07
31.98,-11.85,30.90,30897.00,26.23,0.43,3.95,0.22,0.02,0.02,21.59,7.31,17.69,8.56,21.59,12.45
31.98,-11.85,31.02,31017.00,10.56,0.14,0.41,0.02,2.70,2.70,21.96,8.17,14.13,8.86,21.97,12.97
31.98,-11.85,31.14,31137.00,,,1.55,0.24,-2.04,-2.04,14.13,6.81,14.13,8.86,24.29,13.02
